base,r01none,r01big,r01mid,r01small,r005none,r005big,r005mid,r005small,y01none,y01big,y01mid,y01small,y005none, y005big,y005mid,y005small
163.5714286,155.9285714,155.1571429,157.1857143,152.8714286,156.6428571,159.8142857,159.2142857,156.4142857,159.9571429,163.1142857,162.6857143,157.3714286,160.4571429,163.0428571,160.8714286,161.9857143
163.6857143,155.6857143,155.4571429,157.3857143,152.7857143,156.4857143,159.3857143,158.8285714,156.0285714,159.9142857,162.9714286,162.5285714,157.6714286,160.7142857,162.8714286,160.7857143,161.7714286
163.8428571,155.8285714,155.8,157.5,153.1428571,156.7285714,159.5571429,158.9,156.0857143,160.1142857,163.0714286,162.7142857,157.9285714,160.8714286,163.0142857,160.9857143,161.8714286
162.8428571,154.5857143,154.2428571,155.9571429,151.3,155.3428571,158,157.2285714,154.1142857,159.1714286,162.2857143,161.6142857,156.8857143,160.1714286,162.1,160.0142857,160.7857143
162.7714286,154.1857143,153.9,155.4714286,150.8142857,154.9857143,157.6428571,156.7714286,153.5857143,158.9,162.0285714,161.4,156.7428571,159.9285714,161.9142857,159.8142857,160.5285714
160.6428571,150.9857143,150.6285714,151.9571429,146.5857143,151.8714286,154.6142857,153.6142857,149.8428571,156.4428571,159.4857143,158.7142857,154.0142857,158.0571429,159.4142857,157.1571429,157.9857143
159.8571429,150.2428571,149.6,151.3,145.9285714,151.1428571,154.0571429,153.1571429,149.3571429,155.8285714,158.6571429,158.1285714,153.1,157.4857143,158.5428571,156.4285714,157.2428571
156.4857143,148.4571429,145.9714286,148.7285714,143.1285714,149.3,152.2571429,151.4571429,147.3142857,152.4571429,155.8857143,155.3714286,148.7857143,153.8428571,155.8571429,154.2857143,154.4857143
156.3,148.4428571,145.9142857,148.8142857,143.0714286,149.3571429,152.1857143,151.4428571,147.3571429,152.5142857,155.8714286,155.3285714,148.6857143,153.5142857,155.8714286,154.3,154.4285714
155.1857143,146.9428571,143.9714286,147.6,142.5285714,148.0428571,150.9428571,150.1714286,146.0428571,151.3285714,154.9714286,154.2857143,147.2285714,152.2428571,154.9142857,153.3142857,153.3428571
155.2142857,146.9571429,143.9428571,147.5571429,142.4857143,148.0714286,151.0428571,150.1285714,145.9714286,151.2857143,155.0857143,154.4,147.3,152.1428571,155.0857143,153.3285714,153.3285714
154.0714286,145.5,143.6714286,145.9,142.3571429,146.7571429,150.1857143,148.9714286,144.4142857,150.2428571,154.3571429,153.5428571,145.8571429,151.0714286,154.2142857,152.3428571,152.0714286
153.9285714,145.4428571,143.6857143,145.7857143,142.3428571,146.6428571,150,148.8714286,144.3571429,150.1285714,154.2285714,153.4571429,145.7571429,151.0285714,154.1571429,152.2857143,152.1285714
152.3571429,144.2428571,143.4,144.6857143,142.1285714,145.3142857,147.8,147.0142857,143.8714286,148.3142857,152.5857143,151.7714286,144.8428571,149.7428571,152.6571429,150.6857143,150.3285714
152.1285714,144,143.3428571,144.6285714,142.0142857,145.1142857,147.7,146.8428571,143.8428571,148.1285714,152.4285714,151.6285714,144.7285714,149.4714286,152.4142857,150.5428571,150.1428571
149.6857143,142.3142857,142.8285714,144.2285714,141.7714286,142.9,145.9714286,145.3857143,143.4142857,146.1857143,149.6428571,148.8428571,144.4571429,147.6571429,149.3857143,148.1428571,147.7142857
149.4428571,142.2142857,142.7571429,144.1714286,141.6,142.8142857,145.9,145.4285714,143.4,145.9571429,149.4571429,148.6714286,144.3571429,147.4142857,149.2571429,148.0285714,147.6
146.9285714,141.6714286,142.5,143.6142857,141.4285714,142.1142857,145.3571429,144.9,143.0285714,143.4714286,147.1571429,146.7142857,143.7428571,144.3142857,147.1,146.5142857,146.0142857
146.7571429,141.6,142.4142857,143.6142857,141.3142857,142.0285714,145.3,144.9142857,142.9714286,143.3571429,146.9714286,146.6714286,143.7,144.1142857,146.9714286,146.4142857,145.9857143
144.9571429,141.2857143,142.0571429,143.4428571,141.0571429,141.6571429,144.7428571,144.4857143,142.7285714,142.7571429,146.2,145.9714286,143.4,143.1,146.1285714,145.7285714,145.2714286
144.8142857,141.1571429,141.8571429,143.2714286,140.9,141.4714286,144.5857143,144.3285714,142.6,142.5857143,146.1,145.8,143.2428571,142.9857143,146,145.5714286,145.1571429
144.2714286,140.7428571,141.3857143,142.8,140.3142857,141.1142857,144.2142857,143.9428571,142.1428571,142.0857143,145.6714286,145.4857143,142.8285714,142.4142857,145.5428571,145.2571429,144.7571429
144.0571429,140.5571429,141.1428571,142.6571429,139.9857143,140.9428571,144.1,143.8285714,141.9428571,141.8714286,145.6,145.3571429,142.5571429,142.2571429,145.4142857,145.1142857,144.6142857
143.7857143,139.9285714,140.3428571,141.8428571,139.0285714,140.2714286,143.5285714,143.1428571,141.0142857,141.7857143,145.0714286,144.8857143,141.7571429,141.8857143,145.1285714,144.5142857,144.0285714
143.8714286,139.9285714,139.9285714,141.3857143,138.6571429,140.3714286,143.4714286,142.8857143,140.5142857,142.3857143,145.4142857,145.1571429,141.2428571,142.4428571,145.3428571,144.5428571,144.1
148.1714286,144.8,138.8714286,144.0571429,142.7571429,144.0714286,149.8142857,149.5714286,146.2714286,148.1428571,151.0142857,152.3857143,141.0857143,146.7571429,152.0285714,148.3142857,149.2142857
