r01none,r01big,r01mid,r01small,r005none,r005big,r005mid,r005small,y01none,y01big,y01mid,y01small,y005none,y005big,y005mid,y005small,WaveLength
0.047702487,0.11772161,0.08384132,0.133189732,0.054932406,0.023289656,0.023663886,0.049486087,0.043412663,0.061992912,0.073972855,0.107062207,0.020411031,0.024226444,0.034609964,0.045929646,377
0.033214246,0.103554489,0.069392505,0.109325162,0.047688577,0.014955806,0.016607123,0.040931602,0.04108568,0.058301752,0.067700172,0.078820086,0.028944364,0.025768292,0.025158898,0.036719213,381
0.065048455,0.13602569,0.103635164,0.145987567,0.062908849,0.029989209,0.032116631,0.056436712,0.016282359,0.068324619,0.076624814,0.091760043,0.02629087,0.021100632,0.041053137,0.043721483,385
0.141127451,0.202733689,0.173016595,0.222878494,0.100384832,0.066020952,0.066754027,0.091270744,0.036010986,0.070354253,0.07162598,0.14434208,0.031222349,0.019857148,0.077175657,0.068862269,389
0.226036346,0.297621691,0.262277407,0.312768399,0.143649646,0.10928552,0.10972134,0.137489919,0.08219224,0.080763377,0.091840052,0.214023412,0.053110716,0.01789162,0.115468066,0.089233311,393
0.344859711,0.417600031,0.378830735,0.427858342,0.199284483,0.167050967,0.166373792,0.193079854,0.110313258,0.080062041,0.09245487,0.301239547,0.0669497,0.020068749,0.163130224,0.118347417,397
0.395132165,0.469419089,0.431344337,0.476344862,0.223958177,0.191030378,0.191968887,0.217780411,0.113719997,0.081850958,0.095673293,0.326122215,0.066472422,0.023901075,0.179962428,0.115224461,401
0.445088569,0.519552381,0.481934913,0.524566363,0.25143441,0.217055857,0.216935453,0.240028295,0.109638656,0.076794278,0.092521938,0.350655998,0.061128995,0.024068921,0.195191143,0.105122163,405
0.464373751,0.535226363,0.49821816,0.538254928,0.259613675,0.226244193,0.227369635,0.249386408,0.108955933,0.075553122,0.091553009,0.348305743,0.05692328,0.024276615,0.196998912,0.101804933,409
0.474492346,0.543058414,0.51026032,0.54613853,0.26908761,0.234252786,0.234382079,0.251881718,0.103642022,0.074825934,0.09186345,0.344537326,0.049435059,0.025181089,0.195958569,0.096309306,413
0.48082201,0.54963107,0.512985775,0.552508261,0.273861739,0.241501514,0.242597528,0.258552565,0.102746237,0.071449007,0.088190019,0.337187463,0.048264098,0.024371861,0.191331426,0.092563781,417
0.468961287,0.535397333,0.497473448,0.534748163,0.259569637,0.23700401,0.238418655,0.254314572,0.106676306,0.065481733,0.081859447,0.321282979,0.046722205,0.021740322,0.179923896,0.086207186,421
0.473618861,0.536035182,0.49537538,0.530035623,0.262549268,0.242404042,0.244201133,0.257694806,0.111916303,0.061719819,0.077893753,0.309712228,0.046921939,0.020794047,0.173144255,0.082476519,425
0.44988089,0.504805437,0.481342468,0.509305938,0.231722031,0.219693277,0.221478059,0.233608913,0.118382148,0.052123013,0.06807924,0.28082661,0.046551488,0.016324461,0.151919787,0.072913274,429
0.449027754,0.498725353,0.481287181,0.500544771,0.222739921,0.214544713,0.216252708,0.226629229,0.121764083,0.044084399,0.060847583,0.255687304,0.044942191,0.013236461,0.137062802,0.067223687,433
0.38577262,0.436925142,0.422140756,0.443950919,0.187572097,0.175204499,0.17899425,0.184570377,0.093469973,0.034896251,0.051941218,0.191587574,0.038013696,0.006121061,0.103324434,0.052209223,437
0.31778013,0.411390296,0.371627735,0.389662137,0.178119191,0.163352152,0.1650115,0.170998972,0.070597739,0.027028892,0.040501215,0.168091425,0.02808728,0.00270814,0.088364573,0.04138277,441
0.132697213,0.312205441,0.176880038,0.195803663,0.135633708,0.11351893,0.106738103,0.119646516,0.046538295,0.020537845,0.031799089,0.163731447,0.020181131,0.000430279,0.075180578,0.028842509,445
0.030795815,0.172679659,0.053126397,0.066490358,0.070706735,0.026021973,0.020231037,0.036462234,0.035379051,0.020908537,0.026988759,0.179253778,0.018881826,0.001857441,0.068441815,0.028039075,449
-0.075691443,0.015266101,-0.068772326,-0.055239173,-0.010243008,-0.051735184,-0.053505871,-0.039935898,0.023684408,0.023942073,0.024328857,0.195737478,0.018114041,0.003938171,0.06416305,0.02484574,453
-0.109231407,-0.037564928,-0.106090653,-0.097602543,-0.038469861,-0.075880288,-0.075248816,-0.064347636,0.00972173,0.001680058,0.000783218,0.194414304,0.01236248,-0.005300577,0.045885187,0.012480848,457
-0.11104615,-0.059884935,-0.108115489,-0.099488711,-0.04639775,-0.077433019,-0.07648794,-0.066572588,0.004695121,-0.055402363,-0.072225868,0.165183443,0.023548321,-0.032972478,0.001306085,-0.020058612,461
-0.024656644,0.017089424,-0.021745303,-0.013281005,-0.005667038,-0.032924289,-0.031716155,-0.023335592,0.000400764,-0.026482074,-0.032904175,0.091683983,0.020646276,-0.015770209,0.002991473,-0.00947108,465
0.025434595,0.057280766,0.026702126,0.034610759,0.015040934,-0.005913139,-0.004621421,0.002636867,0.006958068,-0.008988735,-0.012684019,0.055920915,0.013571938,-0.005837368,0.004960732,-0.001267828,469
0.028866734,0.057182283,0.032561551,0.039568577,0.016856416,-0.001690434,-0.000508514,0.005947592,0.00679248,-0.006783358,-0.009021135,0.045935311,0.010759567,-0.00479532,0.004928411,-0.000145411,473
0.035174977,0.056504486,0.03827488,0.046537281,0.01796799,0.003690476,0.00465096,0.010527829,0.009436259,-0.004967403,-0.005183977,0.03636463,0.008809611,-0.003477908,0.00478532,0.000988283,477
0.033758447,0.051890843,0.036058985,0.045573548,0.016535328,0.004049733,0.00502519,0.010882488,0.010615613,-0.003804434,-0.003888599,0.034723189,0.00850733,-0.002868064,0.004742941,0.001897612,481
0.035257242,0.047929571,0.036521057,0.046274943,0.016327036,0.006289254,0.00715834,0.012192405,0.011753244,-0.001282051,-0.000801725,0.03373683,0.008280873,-0.001040708,0.005856011,0.002684727,485
0.032275556,0.044141794,0.033082124,0.044272572,0.015143387,0.005765398,0.006616163,0.011812746,0.01173301,-0.00121888,-0.000708153,0.031809279,0.007327688,-0.000962525,0.005200068,0.002574508,489
0.026898417,0.035354121,0.025709635,0.037451964,0.012936706,0.005608524,0.006342231,0.010655427,0.011613157,-7.72E-05,0.000270168,0.025505001,0.005885852,-0.000154279,0.004758941,0.002795926,493
0.025016992,0.031174409,0.022795739,0.035134945,0.011458303,0.00541832,0.006242856,0.010212752,0.011228708,0.000650285,0.001416574,0.022191909,0.00524204,0.000210331,0.004421288,0.002672911,497
0.021962184,0.025134722,0.019170309,0.030732842,0.009943254,0.005235964,0.006016719,0.009863625,0.010043495,0.001104543,0.001944349,0.018534679,0.004341553,0.000723952,0.003876362,0.002409797,501
0.020781747,0.022935673,0.017294374,0.029381123,0.009398426,0.005045925,0.005862707,0.009715516,0.009703808,0.001215448,0.002358028,0.016781559,0.004174196,0.000702835,0.003614264,0.002115366,505
0.021762014,0.022400096,0.017045468,0.029928029,0.009768041,0.005780693,0.006541074,0.010403323,0.010123515,0.001899305,0.00308106,0.016257775,0.003978148,0.001082936,0.00388166,0.002554479,509
0.021780423,0.021860059,0.017146954,0.029330767,0.009639669,0.005755631,0.006651808,0.010532178,0.00999743,0.002049637,0.003001829,0.015966806,0.003974297,0.001100924,0.003820087,0.002628657,513
0.022599356,0.023563652,0.018763443,0.031929786,0.010238713,0.006555814,0.007618623,0.011962908,0.009903599,0.001488422,0.003288966,0.016185314,0.003591832,0.00099285,0.003804978,0.002760627,517
0.023534038,0.024339555,0.019927586,0.033135694,0.010643253,0.006951939,0.00815563,0.012613677,0.010454278,0.001986572,0.003674645,0.016390416,0.003826059,0.001146504,0.003981289,0.003012917,521
0.026925562,0.027954062,0.0241403,0.039769772,0.012192671,0.008305901,0.009714907,0.015112687,0.011505681,0.003139632,0.005245401,0.018300414,0.003523646,0.001667091,0.004763648,0.003621801,525
0.026938213,0.028800453,0.023893119,0.039591716,0.01217221,0.008025104,0.009297396,0.014753025,0.011084957,0.003272417,0.004721699,0.018756856,0.003245441,0.001792683,0.004707984,0.00358056,529
0.022873598,0.030206838,0.02208029,0.03874836,0.010207445,0.005948511,0.007092469,0.013114916,0.01132692,0.001668379,0.003103538,0.021913462,0.00369868,0.000873993,0.003074491,0.002793186,533
0.022399673,0.029861165,0.021314354,0.038406064,0.009866491,0.005792546,0.006855092,0.012793893,0.010648453,0.001192462,0.00270763,0.021689734,0.003905091,0.000596231,0.002796526,0.002615662,537
0.02370326,0.032575425,0.021765382,0.036949807,0.010232141,0.006019587,0.007132214,0.01318571,0.010930807,0.000600103,0.002526024,0.022859642,0.004157407,0.000380136,0.002634558,0.002594095,541
0.023740991,0.032741572,0.021971453,0.037160367,0.010230212,0.00591575,0.00723417,0.013331916,0.01113377,0.000359896,0.002284395,0.022728944,0.004340062,0.000179948,0.002654301,0.002654301,545
0.024859116,0.030351699,0.023666818,0.034342846,0.010561431,0.005546743,0.007309564,0.014055977,0.010928276,-0.000804622,0.001492492,0.023794407,0.004269887,-0.000201249,0.002450007,0.002837242,549
0.024626841,0.029905647,0.02360427,0.03398356,0.010529163,0.00561399,0.007253942,0.013940481,0.010855887,-0.000845597,0.001332131,0.023689392,0.004130062,-0.000322207,0.002330037,0.002554226,553
0.023768504,0.026313669,0.022437167,0.030181429,0.010277254,0.006594193,0.007751641,0.012444132,0.011679835,-0.000651055,0.001672798,0.021965737,0.003758353,-0.000427155,0.00239537,0.002910645,557
0.023848295,0.02583473,0.021956691,0.029878753,0.01025031,0.006415146,0.007678981,0.012161243,0.011571953,-0.000855592,0.001429744,0.021656512,0.003826301,-0.000407444,0.002275317,0.002853056,561
0.021931857,0.020365262,0.016129052,0.023591638,0.010074063,0.005456248,0.00632931,0.00929397,0.01027542,0.000124363,0.002452356,0.015441333,0.002962947,0.000435643,0.002249819,0.002878928,565
